Gene,Annotation
group_13925,IncF plasmid conjugative transfer pilus assembly protein TraU
group_13924,DUF1845 domain-containing protein
group_13923,conjugal transfer mating pair stabilization protein TraN
group_13920,Single-stranded DNA-binding protein
norD,Nitric oxide reductase activation protein
group_13917,Lipoprotein
group_13915,Type IV secretory pathway protease TraF
group_13914,Conjugative transfer protein 345
group_13912,Phage protein
group_13909,DUF3150 domain-containing protein
group_13908,TraW;Pilus assembly protein
group_13906,hypothetical protein
group_12618,Acetyl-CoA carboxylase
group_12617,GntR family transcriptional regulator
group_12616,Divalent metal cation transporter
kipI,KipI family sensor histidine kinase inhibitor
group_12615,putative hydro-lyase
group_12614,5-oxoprolinase subunit A
group_12551,Permease;Prophage protein
group_11816,hypothetical protein;Sodium:proton antiporter
group_11525,Single-stranded DNA-binding protein;single-stranded DNA-binding protein
group_11509,protein DpdE
group_11427,Uncharacterized protein conserved in bacteria;Acyltransferase family
group_11426,Glycosyl hydrolase
group_11066,Recombination-associated protein RdgC
group_10886,DUF1795 domain-containing protein
group_10816,hypothetical protein
rri1,Proteasome lid subunit RPN8/RPN11 contains Jab1/MPN domain metalloenzyme (JAMM) motif
group_9758,P2-like prophage tail protein X
group_9429,hypothetical protein
group_9338,hypothetical protein;NACHT domain-containing protein
group_8015,Restriction/modification system DNA helicase;DEAD-like helicase;DEAD/DEAH box helicase
group_7848,hypothetical protein;PH domain-containing protein
group_7713,Bacteriophage T5 Orf172 DNA-binding domain-containing protein
group_7689,PD-(D/E)XK nuclease superfamily protein
group_7578,N-6 DNA methylase;site-specific DNA-methyltransferase (adenine-specific);DNA methylase M
group_7462,Putative glycosyltransferase
group_7371,Terminase
group_7189,Putative integrase core domain protein;IS3 family transposase ORF B;IS3 family transposase
group_7070,Trypsin-like peptidase domain-containing protein
group_6868,Putative glycosyltransferase
group_6686,Putative glycosyltransferase
group_6442,hypothetical protein
group_6203,Putative glycosyltransferase
group_6041,phospholipase D-like domain-containing protein DpdK
group_5984,hypothetical protein
group_5797,Phage protein;Phage family protein
group_5793,protein DpdJ
group_5567,Nipsnap family protein;NIPSNAP family protein
group_5432,Integron gene cassette protein
group_5265,Lipid A core-O-antigen ligase and related enzymes
group_5187,phage antirepressor N-terminal domain-containing protein;Antirepressor protein Ant
group_4734,hypothetical protein
group_4599,Gp37 family protein
group_4576,DUF1320 domain-containing protein;Mu-like prophage protein gp36
group_4538,DUF4400 domain-containing protein
group_4510,Phage-like protein;Gp12
group_4477,DUF2190 domain-containing protein
group_4378,Phage tail sheath protein;Phage tail sheath protein FI
group_4319,Phage-like protein
group_4179,phage major tail tube protein
group_4108,Peptidase
group_3922,Phage-related baseplate assembly protein
group_3920,Phage-like protein
group_3866,Holin
group_3840,Phage portal protein PBSX family;hypothetical protein;Phage portal protein;Phage portal protein pbsx family
group_3826,DNA-binding transcriptional regulator MocR family contains an aminotransferase domain
gpG,phage virion morphogenesis protein
group_3674,protein DpdH
group_3562,putative metallopeptidase;Putative phage metallopeptidase domain-containing protein
group_3551,Phage protein
group_3550,Integrase;hypothetical protein
group_3488,Integral membrane protein MviN
group_3453,DNA polymerase III subunit theta;DNA polymerase III theta subunit;hypothetical protein
group_3423,Phage baseplate assembly protein W
group_3420,Phage tail assembly protein;Mu-like prophage FluMu gp41 family protein
group_3362,Transmembrane protein
group_3339,Transglycosylase SLT domain-containing protein;Phage lytic murein transglycosylase
group_3215,Bacteriophage lysis protein;Endopeptidase;lysis protein
group_3196,Uncharacterized protein contains phage Mu head morphogenesis gpF-like domain
group_3172,putative transcriptional regulator lambda repressor-like DNA-binding domain
dicC,Cro/CI family transcriptional regulator;DNA-binding transcriptional regulator DicC
group_3144,Putative TonB-dependent receptor
dpdG,protein DpdG
group_2897,Small heat shock protein
group_2860,hypothetical protein
group_2859,Inovirus Gp2 family protein
gpV,Phage baseplate assembly protein V;Phage P2 baseplate assembly protein gpV
group_2406,Lipoprotein
gp29,DUF935 domain-containing protein;Mu-like prophage protein gp29
cspC~~~cspG,Cold shock protein CspA family;cold shock protein CspG
group_1814,tyrosine-type recombinase/integrase;Integrase
group_1725,protein DpdF
group_1664,Phage tail protein
group_1527,hypothetical protein
group_1525,Phage protein
group_1505,hypothetical protein
group_1383,hypothetical protein;XRE family transcriptional regulator
group_902,Gp34
group_890,Inner membrane protein
group_790,Phage tail protein;Phage protein U
gpD,Phage protein D
group_715,Colicin V
group_671,hypothetical protein
group_523,Phage tail tape measure protein;Prophage membrane protein
nhoA,Arylamine N-acetyltransferase
group_155,Mu-like prophage FluMu protein gp28
traA,type IV conjugative transfer system pilin TraA
group_21455,Integrase
group_21424,Integrase
group_21406,type 4 pilus major pilin;Type 4 secretion system PilS N-terminal domain-containing protein;Type IV pilin protein;Bundle-forming pilin;Prepilin-type N-terminal cleavage/methylation domain-containing protein
group_21387,Tail spike TSP1/Gp66 N-terminal domain-containing protein;glycosyl hydrolase family 28-related protein;Calx-beta domain-containing protein;hypothetical protein;tail fiber protein
group_20943,hypothetical protein;Transposase
group_20796,AP2 domain-containing protein
group_20585,LysR family transcriptional regulator;LysR family transcriptional regulator YnfL
group_20509,Site-specific DNA recombinase SpoIVCA/DNA invertase PinE
group_16661,hypothetical protein
group_13897,hypothetical protein
group_13891,DNA (cytosine-5-)-methyltransferase
group_13467,Protein N-acetyltransferase RimJ/RimL family
group_13394,Resolvase/invertase-type recombinase catalytic domain-containing protein
gp16,Mu-like prophage protein gp16
group_11561,Type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
group_11490,Prophage protein
group_11127,DUF3102 domain-containing protein
group_10866,IS21-like element helper ATPase IstB;IS21-like element IS1326 family helper ATPase IstB
group_10860,GTP-binding protein
group_10340,AbiTii domain-containing protein
group_9777,Conserved phage C-terminus (Phg_2220_C)
group_9651,Tail spike TSP1/Gp66 N-terminal domain-containing protein;hypothetical protein
group_9599,hypothetical protein
group_8469,DNA-directed RNA polymerase beta subunit/140 kD subunit;hypothetical protein
group_8456,VgrG protein
group_8210,IstA;IS21 family IS1326 transposase
group_8016,Type II restriction enzyme methylase subunit;Lactate dehydrogenase
group_7837,hypothetical protein;DNA-directed DNA polymerase family A palm domain-containing protein
group_7828,hypothetical protein
group_7717,DUF4756 domain-containing protein
group_7708,Excisionase
group_7342,Type II toxin-antitoxin system VapC family toxin
group_7256,hypothetical protein
tnsE,Tn7-like element transposition protein TnsE;TnsE C-terminal domain-containing protein
group_7041,Lysogenic conversion protein;lysogenic conversion protein;hypothetical protein
cpsG,Phosphomannomutase;phosphomannomutase CpsG;Phosphomannomutase dehydrogenase
exeA,Type II secretory pathway ATPase component GspA/ExeA/MshM
group_6657,DUF4760 domain-containing protein
group_6527,mRNA interferase RelE;Putative RelE-like toxin protein
group_6514,Helix-turn-helix domain-containing protein
group_6244,RelB/StbD;Type II toxin-antitoxin system Phd/YefM family antitoxin
group_6035,CD-NTase associated protein 4-like DNA endonuclease domain-containing protein
group_5735,Cytoplasmic protein
group_5585,hypothetical protein;DUF551 domain-containing protein
group_5532,hypothetical protein
group_5259,Deoxyguanosinetriphosphate triphosphohydrolase
group_5198,G domain-containing protein;GTPase family protein
group_5182,DUF4133 domain-containing protein;hypothetical protein
group_5073,Phage protein
group_4994,Lipoprotein;hypothetical protein
group_4484,DUF3164 domain-containing protein
group_4481,Phage tail protein E;Phage tail assembly protein
group_4324,phage major tail tube protein
gpI,phage tail protein I
group_4111,Major tail sheath protein
group_3649,DNA-binding protein;hypothetical protein
group_3204,TonB-dependent receptor
group_3191,hypothetical protein
group_3059,DUF2971 domain-containing protein
group_3055,holin;Holin
group_3052,ATP-binding protein
group_2365,DUF4942 domain-containing protein
group_2135,Ead/Ea22-like family protein
group_2082,Transcriptional regulator middle operon regulator (Mor) family
group_1941,Integrase catalytic domain-containing protein
group_1938,Phage protein
group_1872,Relaxase;Relaxase/mobilization nuclease domain protein;relaxase/mobilization nuclease domain-containing protein;MobA/VirD2-like nuclease domain-containing protein
pilJ,PilJ
group_1749,hypothetical protein
group_1653,YHYH domain-containing protein
group_1592,Immunity protein 52 domain-containing protein
group_1502,DNA-binding transcriptional regulator IclR family
group_501,tail fiber domain-containing protein
group_462,Dopa decarboxylase protein remnant
dam,DNA-adenine methylase
group_49,YgiT-type zinc finger protein
group_21523,Sialate O-acetylesterase domain-containing protein;hypothetical protein;sialate O-acetylesterase
rhsD~~~rhsC,RhsD;DUF6531 domain-containing protein;hypothetical protein;Deoxyribonuclease RhsC;Rhs protein
group_21496,Aec69
group_21469,Resolvase/invertase-type recombinase catalytic domain-containing protein;Site-specific DNA recombinase SpoIVCA/DNA invertase PinE;recombinase family protein
group_21394,hypothetical protein;DUF3892 domain-containing protein
group_21105,Divalent metal cation (Fe/Co/Zn/Cd) efflux pump
group_21104,Soluble cytochrome b562
group_21034,Protein ninY;hypothetical protein
group_21005,tail protein (tape measure);Phage tape measure protein;hypothetical protein;Tail protein
group_20764,IS3 family transposase ORF A;Transposase
group_20601,Protein CopB
group_19196,Flagellar biosynthesis cell-distal portion of basal-body rod;sialidase family protein
group_19194,hypothetical protein
group_14816,GntR family transcriptional regulator
group_14811,ABC transporter permease
group_14810,hypothetical protein;DUF3604 domain-containing protein
group_14804,ABC transporter ATP-binding protein
group_14796,ABC transporter substrate-binding protein
group_14494,hypothetical protein;Uncharacterized domain associated with phage/plasmid primase
blaCMY2,extended-spectrum class C beta-lactamase CMY-2
group_13309,Chaperonin
group_12986,Lipoprotein
group_12575,relaxase/mobilization nuclease domain-containing protein;Relaxase;Relaxase/mobilization nuclease domain-containing protein
group_12113,DUF2280 domain-containing protein
group_11902,Anti-bacteriophage protein A/HamA C-terminal domain-containing protein
group_11838,Transcriptional regulator;WYL domain-containing protein
wcaN,Glycosyltransferase WcaN
group_11068,Prophage protein
group_10959,MarR family transcriptional regulator
group_10844,Caspase family protein
group_9633,site-specific integrase;Integrase/recombinase includes phage integrase
group_9560,DUF3696 domain-containing protein
group_9514,DUF955 domain-containing protein
group_9450,hypothetical protein
group_9257,hypothetical protein
group_9184,hypothetical protein
group_8964,IS66 family transposase
group_8931,hypothetical protein
group_8835,Acetyltransferase
group_8809,PRTRC system protein D
group_8757,hypothetical protein
group_8596,hypothetical protein
group_8473,Aec60;DNA-directed RNA polymerase beta subunit/140 kD subunit
group_8317,HsdR
group_8311,hypothetical protein
group_8167,WYL domain-containing protein;Transcriptional regulator
dndB,DNA sulfur modification protein DndB
